ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,1,B,1,0,B,7,52,21,3,30,6,8,226,12,0,1,4,17,0,,,,,,,,1,0,0,0,1,5,,,394,0,12,406,633,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,1,C,1,0,C01,8,52,24,5,28,19,4,200,16,1,2,1,10,4,,,,,,,,0,0,0,0,4,3,,,381,0,22,403,632,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,2,B,1,0,B,15,35,21,2,26,10,1,136,8,0,1,2,10,0,,,,,,,,0,0,1,0,3,3,,,274,0,14,288,511,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,2,C,1,0,C01,14,57,24,4,17,10,2,147,0,0,0,0,15,1,,,,,,,,1,0,0,8,2,1,,,303,0,8,311,511,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,B,1,0,B,7,68,22,4,19,29,0,123,4,2,1,1,13,0,,,,,,,,0,0,0,0,6,7,,,306,0,18,324,570,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,C,1,0,C01,2,66,14,2,21,14,1,136,7,1,1,1,12,2,,,,,,,,0,1,0,0,4,3,,,288,2,25,315,570,Grupo de recuento,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,C,2,0,C02,3,43,21,3,19,20,2,133,8,1,0,1,10,0,,,,,,,,1,0,0,0,1,5,,,271,2,7,280,570,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,C,3,0,C03,2,61,20,1,21,18,3,134,21,1,0,2,14,0,,,,,,,,1,0,0,0,1,3,,,303,0,18,321,570,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,4,B,1,0,B,3,55,19,8,22,2,0,140,0,2,0,2,7,2,,,,,,,,0,0,0,0,1,5,,,268,0,13,281,494,Grupo de recuento,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,4,C,1,0,C01,5,35,18,2,15,4,2,146,10,2,2,1,12,1,,,,,,,,0,0,0,0,2,1,,,258,0,12,270,494,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,5,B,1,0,B,2,59,66,4,23,3,10,170,12,0,0,1,13,3,,,,,,,,2,1,0,0,5,6,,,380,0,26,406,729,Grupo de recuento,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,6,B,1,0,B,6,26,14,3,15,3,2,114,9,2,0,5,6,0,,,,,,,,1,0,0,0,1,2,,,209,0,0,209,387,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,6,C,1,0,C01,6,30,14,1,13,2,4,105,7,3,1,4,15,3,,,,,,,,2,0,0,0,0,2,,,212,0,12,224,387,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,7,B,1,0,B,11,43,19,5,24,6,6,186,7,2,0,0,20,3,,,,,,,,0,1,0,1,1,2,,,337,0,14,351,629,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,7,C,1,0,C01,3,51,21,4,32,6,1,182,4,1,3,2,14,1,,,,,,,,0,0,0,0,0,3,,,328,0,19,347,628,Grupo de recuento,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,8,B,1,0,B,6,44,10,3,24,8,5,109,4,1,0,0,16,2,,,,,,,,0,0,0,0,0,4,,,236,1,14,251,416,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,8,C,1,0,C01,6,40,17,2,16,6,4,115,5,0,0,0,15,0,,,,,,,,1,0,0,0,3,2,,,232,0,232,464,416,Grupo de recuento,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,9,B,1,0,B,0,44,17,2,21,4,10,87,10,0,0,2,12,0,,,,,,,,1,0,0,1,1,2,,,214,0,16,230,392,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,9,C,1,0,C01,5,48,17,2,8,6,0,83,10,3,1,3,11,2,,,,,,,,0,0,0,0,0,1,,,200,0,12,212,391,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,10,B,1,0,B,7,42,19,1,28,2,0,120,9,2,1,0,8,0,,,,,,,,3,1,0,0,1,3,,,247,0,13,260,448,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,10,C,1,0,C01,5,47,20,4,15,7,3,129,11,1,0,2,15,0,,,,,,,,0,0,0,0,0,3,,,262,0,8,270,447,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,11,B,1,0,B,2,35,13,1,14,6,1,123,20,0,0,2,7,2,,,,,,,,0,0,0,1,3,3,,,233,0,15,248,473,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,11,C,1,0,C01,4,38,12,1,13,4,6,101,12,3,0,2,12,0,,,,,,,,1,0,0,0,2,1,,,212,0,9,221,472,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,12,B,1,0,B,3,36,11,3,27,1,6,135,8,0,0,1,6,2,,,,,,,,0,0,0,0,1,1,,,241,0,9,250,443,Acta casilla,,,
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,12,C,1,0,C01,1,40,15,1,22,4,9,123,8,1,3,1,8,1,,,,,,,,0,0,0,0,0,4,,,241,0,12,253,443,Grupo de recuento,,,
