ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IHG,CG,PSM,PSG,CAND_IND3,CAND_IND6,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,B,1,0,B,4,79,48,10,24,9,4,231,4,9,1,2,2,3,0,0,0,0,0,0,1,2,0,433,0,23,456,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,1,0,C01,11,60,41,8,20,11,7,200,11,7,5,2,3,3,0,0,3,1,0,0,3,0,0,396,0,19,415,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,2,0,C02,12,69,36,10,25,4,2,220,11,13,1,2,1,0,0,0,2,1,0,0,5,1,0,415,0,29,444,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,3,0,C03,8,66,35,12,23,12,3,237,4,9,2,4,0,3,0,0,1,0,0,2,2,6,0,429,0,12,441,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,4,0,C04,4,87,22,13,21,5,3,233,3,10,1,4,0,1,0,0,1,0,0,0,3,2,0,413,0,22,435,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,5,0,C05,7,74,30,12,27,8,1,239,8,11,2,4,1,4,0,0,0,0,0,0,4,2,0,434,0,25,459,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,6,0,C06,4,57,31,12,23,4,2,210,8,12,1,4,8,3,0,0,1,0,0,1,1,1,0,383,0,25,408,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,7,0,C07,11,81,32,12,16,10,4,230,5,3,0,3,2,2,0,0,2,0,0,0,3,0,0,416,0,34,450,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,8,0,C08,4,87,22,13,21,5,3,233,3,10,1,4,0,1,0,0,1,0,0,0,3,2,0,413,0,22,435,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,9,0,C09,8,65,40,11,16,3,2,212,8,13,2,6,1,3,0,0,0,0,0,0,3,0,0,393,1,26,420,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C,10,0,C10,8,63,30,9,26,10,2,234,5,3,1,6,2,3,0,0,2,0,0,0,2,2,0,408,0,29,437,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,B,1,0,B,1,87,39,10,24,5,2,186,7,10,0,4,2,4,0,0,0,1,0,0,4,0,0,386,0,19,405,734,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,C,1,0,C01,4,73,38,5,44,6,3,196,8,10,1,1,4,1,0,0,0,0,1,0,9,1,0,405,0,19,424,734,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,C,2,0,C02,12,88,37,7,21,8,4,197,4,7,2,3,4,2,0,0,2,0,0,0,1,0,0,399,0,23,422,733,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,S,1,0,SMR01,2,24,6,2,3,1,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,1,71,0,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,B,1,0,B,8,58,19,10,21,3,2,169,5,11,0,8,1,0,0,0,0,0,0,0,1,0,0,316,0,14,330,531,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,C,1,0,C01,3,60,18,6,20,5,3,184,10,5,2,10,0,3,0,0,0,1,1,0,2,0,0,333,0,11,344,531,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,C,2,0,C02,8,48,20,13,20,4,4,176,6,13,1,7,1,1,0,0,0,1,0,0,0,0,0,323,0,22,345,531,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,B,1,0,B,7,66,37,7,12,3,2,181,8,4,1,1,1,11,0,0,1,0,0,1,1,2,0,346,0,10,356,607,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,C,1,0,C01,2,66,28,5,17,5,4,173,7,5,3,3,0,6,0,0,0,1,1,0,1,1,0,328,0,23,351,606,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,B,1,0,B,5,71,45,10,13,4,3,196,8,12,0,0,1,4,0,0,0,0,0,0,4,0,0,376,0,17,393,672,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C,1,0,C01,5,64,43,9,11,7,4,219,10,8,2,1,1,4,0,0,0,1,0,0,2,0,0,391,0,0,391,672,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C,2,0,C02,7,53,30,6,23,7,8,168,9,5,2,2,0,0,0,0,1,2,0,0,2,5,0,330,0,32,362,672,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C,3,0,C03,6,65,27,5,23,6,4,205,7,7,0,2,1,0,0,0,0,0,0,0,2,0,0,360,0,18,378,671,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,B,1,0,B,3,72,28,5,15,4,2,188,2,11,1,4,6,3,0,0,0,0,0,0,4,2,0,350,0,28,378,625,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C,1,0,C01,6,81,26,8,28,3,3,167,6,8,1,2,1,0,0,0,0,0,0,1,2,5,0,348,0,23,371,625,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C,2,0,C02,6,43,23,9,27,5,1,225,7,15,0,1,3,1,0,0,1,0,0,0,2,1,0,370,0,20,390,625,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C,3,0,C03,3,63,28,9,24,8,4,185,4,8,1,3,0,4,0,0,0,0,0,0,2,1,0,347,0,17,364,625,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,B,1,0,B,8,85,40,9,33,6,8,209,4,7,2,4,0,0,0,0,0,0,0,0,2,4,0,421,0,16,437,741,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C,1,0,C01,8,71,39,9,29,6,7,241,2,8,8,4,2,4,0,0,0,3,0,0,1,0,0,442,0,21,463,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C,2,0,C02,10,80,31,8,38,14,8,223,5,7,1,0,1,5,0,0,3,0,0,0,4,2,0,440,0,23,463,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C,3,0,C03,7,80,26,7,43,6,4,243,4,8,1,8,0,2,0,0,2,0,0,2,5,3,0,451,0,21,472,740,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,B,1,0,B,7,84,37,17,16,10,2,202,9,10,0,9,1,1,0,0,1,1,0,2,4,1,0,414,0,18,432,733,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,1,0,C01,5,67,30,13,19,9,3,229,6,9,4,5,4,7,0,0,2,0,0,0,2,2,0,416,0,18,434,733,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,2,0,C02,7,63,30,9,20,9,2,215,9,5,0,2,0,2,0,0,0,0,0,1,3,2,0,379,0,20,399,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,3,0,C03,4,63,47,7,14,4,4,218,4,4,2,5,4,1,0,0,0,0,0,1,1,3,0,386,0,23,409,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,4,0,C04,5,62,39,9,24,8,1,207,9,11,0,2,2,0,0,0,0,0,0,0,3,1,0,383,0,14,397,732,Acta casilla,,,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C,5,0,C05,8,70,40,9,21,10,2,219,12,9,2,4,2,0,0,0,1,0,0,0,6,2,0,417,0,17,434,732,Acta casilla,,,
