ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,PRI_PVEM_NA,PRI_NA,PVEM_NA,CAN_IND,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,,
3,ACAPULCO DE JUAREZ,40,B,85,48,69,0,13,22,1,0,7,6,0,,0,,,,,0,9,260,513,50.68%,,
3,ACAPULCO DE JUAREZ,40,C1,78,45,69,2,4,14,3,9,0,2,3,,1,,,,,2,17,249,513,48.54%,,
3,ACAPULCO DE JUAREZ,56,B,77,59,62,1,11,21,6,5,4,1,2,,2,,,,,0,13,264,741,35.63%,,
3,ACAPULCO DE JUAREZ,56,C1,57,67,67,5,13,26,6,19,1,4,4,,1,,,,,0,14,284,740,38.38%,,
3,ACAPULCO DE JUAREZ,57,B,61,64,50,11,9,30,2,9,1,5,1,,5,,,,,0,19,267,572,46.68%,,
3,ACAPULCO DE JUAREZ,57,C1,73,74,57,6,11,27,4,8,5,6,2,,1,,,,,0,11,285,572,49.83%,,
3,ACAPULCO DE JUAREZ,58,B,52,64,79,3,9,28,2,14,1,6,1,,2,,,,,0,13,274,492,55.69%,,
3,ACAPULCO DE JUAREZ,59,B,35,44,52,1,8,31,1,5,1,2,2,,1,,,,,0,10,193,402,48.01%,,
3,ACAPULCO DE JUAREZ,59,C1,40,44,44,2,14,21,13,6,4,1,2,,2,,,,,0,19,212,401,52.87%,,
3,ACAPULCO DE JUAREZ,60,B,55,61,80,4,12,25,5,5,3,7,0,,1,,,,,0,13,271,517,52.42%,,
3,ACAPULCO DE JUAREZ,60,C1,51,49,75,2,9,28,2,6,1,4,3,,5,,,,,1,10,246,516,47.67%,,
3,ACAPULCO DE JUAREZ,61,B,59,50,67,1,8,31,7,12,2,2,3,,5,,,,,1,12,260,565,46.02%,,
3,ACAPULCO DE JUAREZ,61,C1,53,44,72,1,4,27,9,9,3,2,0,,1,,,,,0,17,242,565,42.83%,,
3,ACAPULCO DE JUAREZ,62,B,66,56,74,3,6,37,7,8,2,5,2,,2,,,,,0,11,279,558,50.00%,,
