ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,"Participación
Ciudadana"
1,CHILPANCINGO DE LOS BRAVO,1204,B,12,106,67,3,7,19,29,17,6,6,5,3,3,0,17,300,686,43.73%
1,CHILPANCINGO DE LOS BRAVO,1204,C1,6,88,51,12,7,26,31,20,11,2,8,3,4,1,19,289,686,42.13%
1,CHILPANCINGO DE LOS BRAVO,1204,C2,10,71,62,7,5,28,33,9,9,3,7,3,4,0,24,275,686,40.09%
1,CHILPANCINGO DE LOS BRAVO,1204,C3,7,76,63,8,14,31,21,24,10,5,4,3,0,2,21,289,686,42.13%
1,CHILPANCINGO DE LOS BRAVO,1204,C4,17,89,63,5,9,17,35,16,6,6,7,1,5,0,21,297,686,43.29%
1,CHILPANCINGO DE LOS BRAVO,1204,C5,3,82,51,11,8,13,22,11,13,1,2,6,4,0,22,249,686,36.30%
1,CHILPANCINGO DE LOS BRAVO,1204,C6,8,91,54,9,8,26,20,14,11,2,10,4,4,0,18,279,686,40.67%
1,CHILPANCINGO DE LOS BRAVO,1204,C7,9,82,51,5,5,18,28,14,9,4,3,5,3,0,25,261,686,38.05%
1,CHILPANCINGO DE LOS BRAVO,1204,C8,9,94,65,4,12,23,21,18,7,3,5,4,3,0,8,276,685,40.29%
1,CHILPANCINGO DE LOS BRAVO,1204,C9,4,96,55,3,8,30,23,11,6,2,8,3,1,0,21,271,685,39.56%
1,CHILPANCINGO DE LOS BRAVO,1205,B,3,113,61,5,5,39,5,8,9,7,4,3,1,0,25,288,665,43.31%
1,CHILPANCINGO DE LOS BRAVO,1205,C1,8,102,74,6,11,41,7,8,4,3,7,5,3,0,14,293,665,44.06%
1,CHILPANCINGO DE LOS BRAVO,1205,C2,8,96,65,6,7,33,4,19,6,6,4,5,2,0,19,280,665,42.11%
1,CHILPANCINGO DE LOS BRAVO,1206,B,4,102,65,19,16,39,13,24,25,5,10,2,5,0,18,347,729,47.60%
1,CHILPANCINGO DE LOS BRAVO,1206,C1,7,141,80,12,10,21,7,18,4,6,7,5,5,0,28,351,728,48.21%
1,CHILPANCINGO DE LOS BRAVO,1209,B,1,105,56,5,4,12,11,10,37,7,10,3,5,0,8,274,591,46.36%
1,CHILPANCINGO DE LOS BRAVO,1209,C1,3,106,52,16,3,12,4,11,34,3,6,4,3,0,20,277,591,46.87%
1,CHILPANCINGO DE LOS BRAVO,1210,B,9,89,71,6,11,13,5,6,13,4,9,5,2,0,13,256,613,41.76%
1,CHILPANCINGO DE LOS BRAVO,1210,C1,11,90,56,8,6,14,2,12,22,3,5,1,2,0,18,250,613,40.78%
1,CHILPANCINGO DE LOS BRAVO,1210,C2,5,97,49,12,2,9,4,14,10,3,9,3,4,0,21,242,613,39.48%
1,CHILPANCINGO DE LOS BRAVO,1210,C3,2,93,51,4,8,11,7,17,18,6,5,2,7,1,21,253,612,41.34%
1,CHILPANCINGO DE LOS BRAVO,1211,B,10,116,81,10,12,31,15,22,17,2,12,2,4,0,27,361,725,49.79%
1,CHILPANCINGO DE LOS BRAVO,1211,C1,7,114,78,10,5,31,13,21,12,3,12,6,3,2,24,341,725,47.03%
1,CHILPANCINGO DE LOS BRAVO,1211,C2,8,117,59,9,4,30,14,19,17,3,9,6,12,0,21,328,725,45.24%
1,CHILPANCINGO DE LOS BRAVO,1212,B,5,118,94,1,10,25,17,23,11,11,9,4,5,0,22,355,712,49.86%
1,CHILPANCINGO DE LOS BRAVO,1212,C1,3,121,72,5,11,19,12,30,15,3,9,3,3,0,21,327,712,45.93%
1,CHILPANCINGO DE LOS BRAVO,1212,C2,6,94,88,9,9,25,12,14,10,4,11,3,6,0,29,320,712,44.94%
