ID_DISTRITO_LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,PH,PES,PPG,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
1,CHILPANCINGO DE LOS BRAVO,1204,B,14,115,89,8,4,23,7,10,2,1,3,3,4,0,17,300,686,43.73%
1,CHILPANCINGO DE LOS BRAVO,1204,C1,5,111,86,13,2,19,9,9,2,0,3,9,9,0,12,289,686,42.13%
1,CHILPANCINGO DE LOS BRAVO,1204,C2,11,99,72,6,3,27,8,11,2,2,4,5,5,1,18,274,686,39.94%
1,CHILPANCINGO DE LOS BRAVO,1204,C3,8,105,84,15,10,15,6,16,1,3,3,5,7,1,17,296,686,43.15%
1,CHILPANCINGO DE LOS BRAVO,1204,C4,12,110,85,10,6,23,7,10,1,5,1,3,6,0,18,297,686,43.29%
1,CHILPANCINGO DE LOS BRAVO,1204,C5,1,115,65,6,4,13,6,3,3,1,3,7,4,0,15,246,686,35.86%
1,CHILPANCINGO DE LOS BRAVO,1204,C6,14,98,71,7,5,32,6,8,3,0,6,6,3,0,20,279,686,40.67%
1,CHILPANCINGO DE LOS BRAVO,1204,C7,4,99,76,12,1,18,8,17,1,2,2,3,2,0,16,261,686,38.05%
1,CHILPANCINGO DE LOS BRAVO,1204,C8,12,105,91,7,5,21,6,10,1,2,5,3,3,0,3,274,685,40.00%
1,CHILPANCINGO DE LOS BRAVO,1204,C9,5,111,85,2,5,19,10,11,0,1,5,3,3,0,13,273,685,39.85%
1,CHILPANCINGO DE LOS BRAVO,1205,B,2,122,80,8,0,23,4,9,2,1,4,0,0,0,32,287,665,43.16%
1,CHILPANCINGO DE LOS BRAVO,1205,C1,7,114,92,8,7,25,2,5,3,1,1,6,9,0,13,293,665,44.06%
1,CHILPANCINGO DE LOS BRAVO,1205,C2,7,122,74,9,6,22,3,16,1,2,2,4,3,0,12,283,665,42.56%
1,CHILPANCINGO DE LOS BRAVO,1206,B,7,130,93,19,11,27,3,20,7,4,7,0,6,0,15,349,729,47.87%
1,CHILPANCINGO DE LOS BRAVO,1206,C1,7,141,80,12,10,21,7,18,4,6,7,5,5,0,28,351,728,48.21%
1,CHILPANCINGO DE LOS BRAVO,1209,B,5,112,83,8,2,11,7,12,5,4,4,5,8,0,8,274,591,46.36%
1,CHILPANCINGO DE LOS BRAVO,1209,C1,1,117,73,16,5,17,6,10,4,1,3,3,5,0,16,277,591,46.87%
1,CHILPANCINGO DE LOS BRAVO,1210,B,8,99,91,4,5,12,4,5,2,2,5,3,4,0,10,254,613,41.44%
1,CHILPANCINGO DE LOS BRAVO,1210,C1,9,102,78,11,3,13,2,8,2,3,2,2,3,0,12,250,613,40.78%
1,CHILPANCINGO DE LOS BRAVO,1210,C2,9,105,72,9,2,5,0,10,3,4,6,6,4,0,18,253,613,41.27%
1,CHILPANCINGO DE LOS BRAVO,1210,C3,3,100,69,5,6,11,6,11,4,3,4,2,11,0,11,246,612,40.20%
1,CHILPANCINGO DE LOS BRAVO,1211,B,8,140,98,9,8,31,5,19,5,1,8,6,7,0,10,355,725,48.97%
1,CHILPANCINGO DE LOS BRAVO,1211,C1,3,125,107,10,5,26,1,18,3,1,5,7,4,1,26,342,725,47.17%
1,CHILPANCINGO DE LOS BRAVO,1211,C2,7,146,72,11,2,27,3,16,5,1,4,6,13,0,16,329,725,45.38%
1,CHILPANCINGO DE LOS BRAVO,1212,B,7,140,116,4,5,20,8,14,2,1,4,4,6,0,24,355,712,49.86%
1,CHILPANCINGO DE LOS BRAVO,1212,C1,9,141,94,8,6,17,7,18,2,1,3,5,4,0,12,327,712,45.93%
1,CHILPANCINGO DE LOS BRAVO,1212,C2,6,123,101,10,4,14,6,7,4,2,5,3,8,0,27,320,712,44.94%
1,CHILPANCINGO DE LOS BRAVO,1212,C3,12,119,79,8,4,16,2,10,3,4,4,3,8,0,23,295,712,41.43%
1,CHILPANCINGO DE LOS BRAVO,1213,B,5,110,89,6,6,18,4,14,1,0,0,8,7,0,21,289,717,40.31%
1,CHILPANCINGO DE LOS BRAVO,1213,C1,5,122,94,8,6,17,7,12,2,1,1,4,7,0,11,297,717,41.42%
1,CHILPANCINGO DE LOS BRAVO,1213,C10,6,109,103,3,4,19,4,12,2,1,2,5,6,0,14,290,716,40.50%
1,CHILPANCINGO DE LOS BRAVO,1213,C11,5,124,70,7,4,19,3,17,4,1,1,3,3,0,16,277,716,38.69%
1,CHILPANCINGO DE LOS BRAVO,1213,C12,3,102,92,7,9,18,4,10,2,4,7,1,8,0,9,276,716,38.55%
1,CHILPANCINGO DE LOS BRAVO,1213,C13,9,100,92,11,4,24,3,10,4,2,4,7,13,0,13,296,716,41.34%
1,CHILPANCINGO DE LOS BRAVO,1213,C2,8,103,87,8,4,27,3,8,6,6,4,5,5,0,17,291,717,40.59%
1,CHILPANCINGO DE LOS BRAVO,1213,C3,11,104,102,12,4,20,9,17,2,3,1,1,5,0,19,310,716,43.30%
1,CHILPANCINGO DE LOS BRAVO,1213,C4,6,137,81,2,3,18,11,7,1,1,4,4,5,0,10,290,716,40.50%
1,CHILPANCINGO DE LOS BRAVO,1213,C5,6,123,101,8,3,20,2,11,2,2,0,8,5,1,11,303,716,42.32%
1,CHILPANCINGO DE LOS BRAVO,1213,C6,9,118,72,9,7,7,0,10,1,1,6,4,10,0,14,268,716,37.43%
1,CHILPANCINGO DE LOS BRAVO,1213,C7,4,116,98,9,3,18,7,13,2,0,5,5,5,0,23,308,716,43.02%
1,CHILPANCINGO DE LOS BRAVO,1213,C8,5,116,117,0,0,25,3,14,1,5,4,0,0,0,9,299,716,41.76%
1,CHILPANCINGO DE LOS BRAVO,1213,C9,2,124,87,12,4,23,4,14,5,0,1,7,9,1,22,315,716,43.99%
1,CHILPANCINGO DE LOS BRAVO,1214,B,5,111,80,9,5,18,9,9,6,1,3,2,4,0,13,275,606,45.38%
1,CHILPANCINGO DE LOS BRAVO,1214,C1,7,141,64,8,7,18,1,18,2,3,3,3,4,0,24,303,605,50.08%
1,CHILPANCINGO DE LOS BRAVO,1214,C2,5,109,88,8,7,23,7,10,4,2,2,1,4,0,8,278,605,45.95%
1,CHILPANCINGO DE LOS BRAVO,1215,B,15,0,0,0,0,25,7,20,3,0,1,159,99,0,16,345,563,61.28%
1,CHILPANCINGO DE LOS BRAVO,1215,C1,15,151,72,6,7,22,7,25,2,3,3,1,3,0,19,336,562,59.79%
1,CHILPANCINGO DE LOS BRAVO,1215,S1,11,268,165,0,6,40,8,23,2,3,3,4,19,0,23,575,0,#DIV/0!
1,CHILPANCINGO DE LOS BRAVO,1216,B,10,145,71,6,6,28,4,17,3,2,3,3,4,0,9,311,633,49.13%
1,CHILPANCINGO DE LOS BRAVO,1216,C1,5,145,64,4,5,19,7,26,3,3,5,2,5,0,7,300,633,47.39%
1,CHILPANCINGO DE LOS BRAVO,1216,C2,7,138,76,6,1,29,4,21,2,4,1,5,5,0,12,311,632,49.21%
1,CHILPANCINGO DE LOS BRAVO,1216,S1,14,227,163,15,10,36,7,25,0,2,2,0,0,0,9,510,0,#DIV/0!
1,CHILPANCINGO DE LOS BRAVO,1217,B,5,139,70,5,4,25,2,17,3,3,5,2,10,0,22,312,690,45.22%
1,CHILPANCINGO DE LOS BRAVO,1217,C1,7,150,91,7,6,21,8,29,2,7,3,0,0,0,16,347,690,50.29%
1,CHILPANCINGO DE LOS BRAVO,1217,C2,11,130,64,10,5,21,1,15,0,2,3,1,6,0,15,284,689,41.22%
1,CHILPANCINGO DE LOS BRAVO,1219,B,4,155,107,0,0,21,5,16,7,6,4,0,0,0,25,350,697,50.22%
1,CHILPANCINGO DE LOS BRAVO,1219,C1,6,142,81,10,4,13,2,10,4,4,12,4,7,0,26,325,696,46.70%
1,CHILPANCINGO DE LOS BRAVO,1220,B,7,101,72,2,2,19,3,19,1,1,2,2,1,0,10,242,501,48.30%
1,CHILPANCINGO DE LOS BRAVO,1220,C1,8,121,55,8,1,19,3,11,1,5,3,3,0,0,11,249,501,49.70%
1,CHILPANCINGO DE LOS BRAVO,1220,C2,5,110,73,7,4,18,5,0,11,3,1,2,2,0,12,253,501,50.50%
1,CHILPANCINGO DE LOS BRAVO,1221,B,5,103,77,7,5,16,5,8,4,1,8,3,4,0,8,254,615,41.30%
1,CHILPANCINGO DE LOS BRAVO,1221,C1,7,120,79,7,2,6,6,6,5,0,5,0,0,0,10,253,614,41.21%
1,CHILPANCINGO DE LOS BRAVO,1221,C2,4,104,47,6,9,18,4,8,6,0,2,4,2,0,14,228,614,37.13%
1,CHILPANCINGO DE LOS BRAVO,1221,C3,6,133,78,3,2,13,2,5,8,0,1,3,4,0,9,267,614,43.49%
1,CHILPANCINGO DE LOS BRAVO,1222,B,8,88,80,4,11,9,5,5,2,0,2,5,5,0,10,234,597,39.20%
1,CHILPANCINGO DE LOS BRAVO,1222,C1,12,119,69,6,3,14,4,9,1,0,2,0,4,0,12,255,597,42.71%
1,CHILPANCINGO DE LOS BRAVO,1222,C2,11,115,50,8,8,9,4,5,2,3,1,5,7,0,13,241,597,40.37%
1,CHILPANCINGO DE LOS BRAVO,1222,C3,11,111,78,4,6,11,1,12,5,0,2,2,5,0,0,248,597,41.54%
1,CHILPANCINGO DE LOS BRAVO,1223,B,10,119,64,12,9,32,9,23,4,5,1,6,5,0,16,315,650,48.46%
1,CHILPANCINGO DE LOS BRAVO,1223,C1,6,135,61,7,3,32,20,18,6,2,4,10,3,0,23,330,649,50.85%
1,CHILPANCINGO DE LOS BRAVO,1224,B,5,101,45,4,4,23,2,8,0,2,2,3,2,0,9,210,442,47.51%
1,CHILPANCINGO DE LOS BRAVO,1224,C1,8,92,61,3,8,14,4,9,2,0,8,1,2,0,10,222,442,50.23%
1,CHILPANCINGO DE LOS BRAVO,1225,B,3,120,73,3,9,16,0,15,1,0,2,3,0,0,7,252,492,51.22%
1,CHILPANCINGO DE LOS BRAVO,1225,C1,6,115,58,6,3,10,1,22,2,2,4,6,0,0,10,245,492,49.80%
