ID_MUNICIPIO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IHG,CG,PSM,PSG,CAND_IND,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS
1,ACAPULCO DE JUAREZ,11903,70009,23226,7703,27739,7216,3992,137497,11291,1532,1339,4641,12780,1073,,321941,252,15552,337745
2,AHUACUOTZINGO,3017,2986,3081,83,73,1641,561,1031,34,9,108,2,0,10,,12636,0,509,13145
3,AJUCHITLAN DEL PROGRESO,236,9618,797,19,163,1032,32,4164,40,0,3,0,0,0,,16104,0,786,16890
4,ALCOZAUCA DE GUERRERO,23,2112,1741,17,1751,119,17,951,0,9,1496,0,0,0,,8236,0,581,8817
5,ALPOYECA,12,1029,19,26,354,10,0,743,18,414,0,229,237,458,,3549,0,243,3792
6,APAXTLA DE CASTREJON,5,585,641,21,104,1288,137,935,0,835,0,0,592,0,,5143,0,222,5365
7,ARCELIA,132,8294,1402,29,86,58,57,3933,67,8,0,67,0,0,,14133,6,794,14933
8,ATENANGO DEL RIO,7,1264,40,27,1895,8,14,155,22,2,22,1135,0,0,,4591,0,190,4781
9,ATLAMAJALCINGO DEL MONTE,2,23,18,737,202,492,0,1329,28,12,0,0,0,9,,2852,0,163,3015
10,ATLIXTAC,2983,522,5294,59,1175,29,1166,443,0,59,18,11,0,0,,11759,3,1101,12863
11,ATOYAC DE ALVAREZ,320,3799,6949,352,284,681,2260,4597,343,1100,140,93,23,139,3358,24438,2,1759,26199
13,AZOYU,37,2363,865,310,37,451,20,3727,137,20,0,0,0,6,,7973,0,283,8256
14,BENITO JUAREZ,166,107,3338,3908,20,163,25,724,74,2,0,128,11,0,28,8694,1,462,9157
15,BUENAVISTA DE CUELLAR,995,73,774,1547,55,186,635,2307,157,7,77,7,0,0,,6820,0,246,7066
16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,11,172,99,3055,11,22,0,3353,291,3,0,0,0,0,,7017,107,1,7125
17,COCULA,22,1834,1251,67,460,574,2094,532,47,12,2,1,0,5,,6901,0,443,7344
18,COPALA,154,1639,3278,261,35,471,82,537,40,26,167,130,0,13,,6833,0,494,7327
19,COPALILLO,1344,36,672,927,311,357,933,290,43,6,619,23,1341,51,,6953,596,544,8093
20,COPANATOYAC,31,3571,3263,16,1106,27,21,329,9,5,0,0,103,0,,8481,0,664,9145
21,COYUCA DE BENITEZ,1130,9845,2343,725,512,4674,206,8573,2317,430,536,227,88,13,,31619,1,1567,33187
22,COYUCA DE CATALAN,200,2563,10036,90,260,0,73,3378,218,26,0,0,4,0,,16848,0,931,17779
23,CUAJINICUILAPA,782,2136,318,369,78,203,68,7458,88,33,76,0,0,17,,11626,1,387,12014
24,CUALAC,6,56,449,1241,1859,23,0,150,0,5,0,3,0,0,,3792,0,177,3969
25,CUAUTEPEC,34,1871,2992,1967,42,48,21,807,43,7,6,2,0,0,,7840,0,429,8269
26,CUETZALA DEL PROGRESO,0,1173,287,8,44,1016,60,1473,11,8,0,0,0,7,,4087,2,193,4282
27,CUTZAMALA DE PINZON,79,6180,2191,0,62,38,0,962,20,7,0,0,0,0,,9539,1,739,10279
28,CHILAPA DE ALVAREZ,1154,15126,14494,722,2218,823,452,9755,1214,217,71,0,0,0,,46246,45,3967,50258
29,CHILPANCINGO DE LOS BRAVO,3436,20859,35707,2677,4637,3398,812,37227,1303,2546,191,496,239,403,,113931,33,4853,118817
30,EDUARDO NERI,291,3450,4601,102,4063,519,3496,4825,156,0,68,219,42,0,,21832,0,1270,23102
31,FLORENCIO VILLARREAL,47,80,3991,2429,87,61,785,2422,34,24,42,2,30,0,,10034,2,438,10474
32,GENERAL CANUTO A. NERI,0,85,17,11,7,1613,0,105,11,5,1,0,1407,0,,3262,0,135,3397
33,GENERAL HELIODORO CASTILLO,413,8519,821,117,481,93,0,1314,69,15,0,0,0,0,,11842,0,673,12515
34,HUAMUXTITLAN,130,1013,184,81,1366,2154,28,1254,32,20,0,19,0,34,1790,8105,0,437,8542
35,HUITZUCO DE LOS FIGUEROA,638,5868,4986,959,607,488,0,1697,525,0,29,43,350,0,,16190,4,840,17034
36,IGUALA DE LA INDEPENDENCIA,1900,16296,13412,1552,3942,1644,0,17268,1255,201,707,344,210,145,2931,61807,13,2234,64054
37,IGUALAPA,1129,31,1483,1558,124,0,35,329,377,963,0,0,6,0,,6035,5,326,6366
38,IXCATEOPAN DE CUAUHTEMOC,7,1877,1900,3,147,1,0,80,6,0,1,0,0,0,,4022,0,128,4150
